ano,vtotal,areatotal,tempano,tempanodp,precano,precanodp,munic
1990,1264258.845,1388970,22.8626493,4.272845529,1316.340737,10.83844561,3500105
1991,737239.9082,1235817,23.21814093,3.081070683,1414.517344,12.05154803,3500105
1992,1381728.03,1059597,22.73151711,3.306778918,1389.987868,10.8240505,3500105
1993,1547278.853,941193,23.19672431,3.72099873,1319.847774,9.62508552,3500105
1994,1383899.674,991584,23.60301386,3.519357363,1160.328301,10.30565088,3500105
1995,1632009.413,972081,23.55167436,2.99880837,1492.403992,11.64798238,3500105
1996,1910847.544,1063953,23.02875219,3.409369585,1152.816758,9.131357825,3500105
1997,1843234.697,1081377,23.31528671,3.296004612,1567.560276,10.89727459,3500105
1998,1812944.284,1046529,23.19374713,3.455134704,1389.116572,9.438433717,3500105
1999,2051107.492,1094841,23.47183487,3.518524486,980.518653,7.462519941,3500105
2000,1326583.734,969804,23.27866088,3.855466379,1268.023185,8.863538934,3500105
2001,2484606.325,1234827,23.63068498,3.524629816,1290.845201,9.092620717,3500105
2002,3081434.669,1445895,24.46876714,3.400730225,1026.956924,8.730663192,3500105
2003,2546356.201,1342341,23.49745261,3.403117429,1180.719235,8.541838985,3500105
2004,2503896.467,1463121,23.04267386,3.649040782,1224.749955,9.831753491,3500105
2005,2861892,1419561,23.41363712,3.296625584,1247.012245,9.437955034,3500105
2006,3008258.857,1273536,23.80656157,3.295633676,1511.014591,11.55964593,3500105
2007,3909081.094,1403127,24.15558316,3.471190359,1282.302306,9.389534755,3500105
2008,3452473.915,1560042,23.34564044,3.164525621,1083.705145,8.418116328,3500105
2009,3702484.254,1592217,23.35702565,3.509578205,1940.94644,14.67631457,3500105
2010,3326064.896,1571823,23.09774632,3.375724336,1312.794851,10.24646547,3500105
2011,3284135.66,1525095,22.95208962,3.536957093,1130.961296,8.458459122,3500105
2012,3603019.613,1514700,23.34241862,3.645005356,1269.673176,10.61337094,3500105
2013,3572662.424,1501038,22.53908954,3.439129672,1277.421879,11.53954633,3500105
2014,2756874.72,1415898,23.16971218,3.339899916,1117.643983,8.803156548,3500105
1990,1042861.16,607860,23.0372566,3.703296501,1314.680396,9.024719839,3500204
1991,970738.5599,561330,22.99643538,2.664130248,1568.345787,11.12086707,3500204
1992,1671605.489,738936,23.07253435,2.462133617,1494.948162,9.391784081,3500204
1993,1784159.333,518859,23.35126229,3.169224945,1124.035634,7.474656374,3500204
1994,2412145.109,828729,23.92918825,3.196905197,1295.441624,9.031709535,3500204
1995,1035302.852,606870,23.72833386,2.622398945,1574.835801,10.6097024,3500204
1996,950784.9263,552717,23.13837307,3.316275893,1099.646845,7.294775305,3500204
1997,729897.9304,511038,23.66872378,3.067165234,1577.121396,10.49477129,3500204
1998,1052641.372,605088,23.7017489,3.09690625,1677.002749,11.68033853,3500204
1999,1157952.854,611919,23.61001348,3.063487564,1566.55519,12.57992076,3500204
2000,828805.3603,498762,23.62396701,3.344488906,1397.340276,8.897662555,3500204
2001,3788505.283,1372536,23.82129777,3.097322668,1207.611874,8.130781039,3500204
2002,2011975.182,496188,24.65429126,2.979755846,1222.910036,11.26761418,3500204
2003,1955134.533,665280,23.65800518,2.914628134,1290.462268,8.640014225,3500204
2004,2685254.08,714681,23.39250562,3.217840721,1286.806977,9.379954939,3500204
2005,2385900,697752,23.98475397,2.819512826,1096.027627,8.250657165,3500204
2006,3211426.91,657360,23.70252886,2.777337217,1366.057817,10.17806482,3500204
2007,3089130.568,914265,24.26693572,3.016798645,1376.664741,10.53185046,3500204
2008,3530094.653,981387,23.37518365,2.718267503,1164.033497,8.075478597,3500204
2009,2865520.837,863775,23.04880875,2.946778201,1601.833843,9.154437595,3500204
2010,4999252.932,898128,23.44872216,2.89258377,1006.424936,8.112649509,3500204
2011,5397155.998,897138,22.82520309,2.923733773,1557.595681,9.926512915,3500204
2012,2640891.949,871299,23.54583796,3.151971595,1118.170398,7.209353501,3500204
2013,2816235.011,840411,22.52296287,3.002674394,1284.188751,9.870874115,3500204
2014,2667752.044,947331,23.71106878,2.873833187,988.1852334,7.414849621,3500204
1990,1807263.747,1722402,20.60188916,3.973664992,1268.796682,9.534462762,3500303
1991,1940768.015,1795266,20.58213072,2.585322993,1470.662147,10.37310556,3500303
1992,3561856.609,1611522,19.31815785,2.319586491,1414.254685,9.63479176,3500303
1993,4577289.245,1621719,19.31802428,3.066373818,1401.791542,9.693045213,3500303
1994,5146674.832,1725570,19.40562895,3.586651114,999.828982,8.309023529,3500303
1995,3138848.196,1663893,20.05809017,2.661111618,1408.001944,10.95076471,3500303
1996,3483059.36,2064843,19.47709055,3.233138337,1499.785112,10.12000194,3500303
1997,2422748.343,1336203,20.40661476,3.162695716,1072.29563,7.08542816,3500303
1998,3969975.394,1830015,20.03987442,3.166136772,1361.642523,9.322709558,3500303
1999,3327955.864,1860111,19.64346892,2.997866053,1575.162217,12.32937932,3500303
2000,5954116.737,2830509,20.59607887,2.927264578,1672.011263,11.02316431,3500303
2001,14232929.12,1748637,19.9514181,2.848602798,1206.927726,9.410530576,3500303
2002,8483647.87,2809026,20.50960263,2.857186838,1094.937219,8.24941774,3500303
2003,8152268.47,3230370,20.06985413,3.247081678,953.2849059,7.417916628,3500303
2004,21360531.97,3617856,19.59214199,3.25659763,1496.962441,10.16403613,3500303
2005,15478353,3597858,19.93218223,2.753561959,1406.851744,9.527398207,3500303
2006,24533735.09,3739824,19.92108211,3.002246729,1210.694604,9.129984626,3500303
2007,36533421.12,3791700,20.49535794,3.235385443,1309.071088,9.774369972,3500303
2008,21019052.44,3700125,19.84204729,2.768655162,1332.50365,9.885054217,3500303
2009,9445562.231,4082265,20.17088233,2.988655765,1837.531694,11.7655937,3500303
2010,14893499.62,3021975,20.07854843,3.095807408,1136.465164,8.640260472,3500303
